Total
84.25925926
84.12962963
83.12962963
77.75925926
77.12962963
74.92592593
72.75925926
72.25925926
71.09259259
70.88888889
66.42592593
65.62962963
55.22222222
53.92592593
54.25925926
54.25925926
42.51851852
40.7037037
